"created_at","tweetid","text","retweet_count","favorite_count","in_reply_to_status_id","in_reply_to_screen_name","username","followers_count"
"2020-10-15 01:56:34",1316558554732531713,"Joe Biden must immediately release all emails, meetings, phone calls, transcripts, and records related to his invol… https://t.co/y5ZXNiUuER",7321,18921,"None","None","Donald J. Trump",87256412
"2020-10-15 01:54:45",1316558095628206080,"I was thrilled to be back in the American Heartland with thousands of loyal, hardworking IOWA Patriots! 20 days fro… https://t.co/NTbh9vowLc",3875,14285,"None","None","Donald J. Trump",87256412
"2020-10-15 01:52:44",1316557590894006272,"THANK YOU IOWA! #MAGA https://t.co/cD5CaGu1cr",3211,12884,"None","None","Donald J. Trump",87256412
"2020-10-14 23:06:06",1316515656360099841,"https://t.co/d7HGsJhj8Q",32012,69557,"None","None","Donald J. Trump",87256412
"2020-10-14 22:56:26",1316513223802187776,"https://t.co/fVcn4CO3SQ",12844,33163,"None","None","Donald J. Trump",87256412
"2020-10-14 22:09:16",1316501350658707456,"So terrible that Facebook and Twitter took down the story of “Smoking Gun” emails related to Sleepy Joe Biden and h… https://t.co/qEV2S1BZwC",51544,118300,"None","None","Donald J. Trump",87256412
"2020-10-14 20:28:48",1316476068337987590,"Just left the White House, on my way to the Great State of Iowa! https://t.co/fSphwlO7QI",16393,90639,"None","None","Donald J. Trump",87256412
"2020-10-14 17:12:35",1316426687584894976,"RT @HerschelWalker: GEORGIA, Let's go VOTE to keep our Freedoms for the best country in the world! 🇺🇸🇺🇸🇺🇸@potus  #MAGA2020 #Trump2020 #KAG2…",13520,0,"None","None","Donald J. Trump",87256412
"2020-10-14 14:55:48",1316392266181771264,"RT @realDonaldTrump: Republicans will be providing far better Healthcare than the Democrats, at a far lower cost...And will always protect…",44402,0,"None","None","Donald J. Trump",87256412
"2020-10-14 14:29:31",1316385654587170822,"Georgia, this is your chance to MAKE AMERICA GREAT AGAIN. We have been strong for our Military, Vets, 2nd Amendment, and ALL. VOTE NOW!",30625,153415,"None","None","Donald J. Trump",87256412
"2020-10-14 14:14:04",1316381765443952641,"Fight hard Republicans. They have been taking advantage of the system for years! https://t.co/vaToeGjrHG",17119,58561,"None","None","Donald J. Trump",87256412
"2020-10-14 12:52:34",1316361254630457344,"https://t.co/gsFSghkmdM",13813,59166,"None","None","Donald J. Trump",87256412
"2020-10-14 05:31:59",1316250377415790592,"RT @GaryCoby: YES! Watch... @GamebredFighter 

#MAGA #SuperBowl 

https://t.co/2bgAdkMFJv",14247,0,"None","None","Donald J. Trump",87256412
"2020-10-14 04:08:24",1316229344923201538,"Great night in Pennsylvania. Big and Enthusiastic Crowd. Will be back soon. VOTE!!!",26142,157605,"None","None","Donald J. Trump",87256412
"2020-10-14 03:47:57",1316224198688333827,"Vote for Trump. Save your 2nd Amendment! https://t.co/QYt5K7oYws",15379,66995,"None","None","Donald J. Trump",87256412
"2020-10-14 03:43:25",1316223056579301377,"Virginia, VOTE for President Trump and save your under siege 2nd Amendment. https://t.co/V0AGM7gLaL",12120,48562,"None","None","Donald J. Trump",87256412
"2020-10-14 03:38:27",1316221805133279232,"https://t.co/75J7mUX0Iy",19428,58281,"None","None","Donald J. Trump",87256412
"2020-10-14 03:32:13",1316220237642166272,"RT @McguireScotty: This is Lee Keltner. He is the victim of the Denver shooting. He made cowboy hats.

Denver has a DemocRat mayor

 Pray f…",9630,0,"None","None","Donald J. Trump",87256412
"2020-10-14 03:31:21",1316220018892378114,"RT @TaylerUSA: Yesterday in Denver a Conservative was executed by Matt Dolloff 

@DenverPolice claim he has no connections to ANTIFA, but t…",19846,0,"None","None","Donald J. Trump",87256412
"2020-10-14 03:31:12",1316219981999288320,"RT @stillgray: Extended sequence of events in Denver. The victim backed off. He never stood a chance. https://t.co/4HSSYQ1wrx",12570,0,"None","None","Donald J. Trump",87256412
"2020-10-14 03:27:00",1316218924480987141,"RT @BreitbartNews: Facebook has reportedly disabled the account of former U.S. Marine Corps Sergeant John “Tig” Tiegen, one of the men who…",17722,0,"None","None","Donald J. Trump",87256412
"2020-10-14 03:26:56",1316218908941180932,"RT @MrAndyNgo: Tonight the “indigenous” faction of antifa held a “day of rage” riot in Portland. They banned video recording as the crimina…",9688,0,"None","None","Donald J. Trump",87256412
"2020-10-14 03:24:49",1316218374804910086,"RT @VFL2013: Well... 🇺🇸👀🇺🇸👀🇺🇸👀",16538,0,"None","None","Donald J. Trump",87256412
"2020-10-14 03:08:26",1316214253527986178,"I will never let you down! #MAGA https://t.co/22qkatrJb2",24884,106050,"None","None","Donald J. Trump",87256412
"2020-10-14 02:37:50",1316206550957125638,"RT @Seitzer1: UFC’s @GamebredFighter gives one of the best “vote for Trump” speeches I’ve heard!
https://t.co/YstONQTYeF",48244,0,"None","None","Donald J. Trump",87256412
"2020-10-14 01:50:27",1316194625405751296,"https://t.co/wJN4zv0y8O",118467,588775,"None","None","Donald J. Trump",87256412
"2020-10-14 01:25:27",1316188335862247424,"For years you had a President who apologized for America – now you have a President who is standing up for America,… https://t.co/dsI4afed2J",21477,82358,"None","None","Donald J. Trump",87256412
"2020-10-14 01:23:51",1316187932961587200,"Proud citizens like you helped build this Country—and together, we are taking back our Country. We are returning po… https://t.co/8jrGyuAtu8",15629,60213,"None","None","Donald J. Trump",87256412
"2020-10-14 01:19:03",1316186724897157121,"This election is a simple choice: If Biden Wins, China Wins. When WE Win, YOU WIN, Pennsylvania WINS, and America W… https://t.co/mlDW1i3nSD",17640,70840,"None","None","Donald J. Trump",87256412
"2020-10-14 01:18:56",1316186695579004929,"One of the most important issues for Pennsylvania is the survival of your fracking industry. Joe Biden has repeated… https://t.co/Qm91hk8A7j",10992,42467,"None","None","Donald J. Trump",87256412
"2020-10-14 01:06:41",1316183611809300480,"Thank you Johnstown, Pennsylvania! https://t.co/mdHfNODJCT",15888,78201,"None","None","Donald J. Trump",87256412
"2020-10-14 01:00:00",1316181929440366592,"You mean only Democrats are allowed to do this? But haven’t the Dems been doing this for years? See you in court. F… https://t.co/qefNhVQcuh",15304,48571,"None","None","Donald J. Trump",87256412
"2020-10-13 23:24:32",1316157905914089472,"Watch @OANN, @newsmax, @cspan. Just arrived in Pennsylvania. Enjoy!",14993,78089,"None","None","Donald J. Trump",87256412
"2020-10-13 22:41:32",1316147082801995776,"Getting ready to land in Johnstown, Pennsylvania. Big crowd. See you soon!!!",18781,129541,"None","None","Donald J. Trump",87256412
"2020-10-13 22:40:13",1316146752685174784,"Totally Negative China Virus Reports. Hit it early and hard. Fake News is devastated. They are very bad (and sick!) people!",29432,149274,"None","None","Donald J. Trump",87256412
"2020-10-13 21:56:41",1316135799658876929,"....protecting people with Pre-existing conditions. He has done nothing on Healthcare, cost or otherwise, or virtua… https://t.co/Ro7skcAZ2b",15010,70551,"1316135797502996481","realDonaldTrump","Donald J. Trump",87256412
"2020-10-13 21:56:41",1316135797502996481,"How dare failed Presidential Candidate (1% and falling!) @CoryBooker make false charges and statements about me in… https://t.co/j7K15fsD6S",26310,106723,"None","None","Donald J. Trump",87256412
"2020-10-13 17:56:28",1316075346127663105,"Early voting is underway in the Great States of GEORGIA and TEXAS. Find out where to early vote by clicking below!… https://t.co/53K8ddxHuY",13801,55378,"None","None","Donald J. Trump",87256412
"2020-10-13 16:48:57",1316058353697726465,"Happy 245th Birthday to our GREAT @USNavy! #Navy245 https://t.co/EEGIwCh0wD",18003,75539,"None","None","Donald J. Trump",87256412
"2020-10-13 16:43:37",1316057013592481794,"Volunteer to be a Trump Election Poll Watcher. Sign up today! #MakeAmericaGreatAgain
https://t.co/3AnrRV7uSz",12325,41960,"None","None","Donald J. Trump",87256412
"2020-10-13 16:41:47",1316056550113456131,"Join me Friday (10/16) evening at 7:00pmE in Macon, Georgia at the Middle Georgia Regional Airport! #MAGA https://t.co/rZbqKTueVg",9675,34497,"None","None","Donald J. Trump",87256412
"2020-10-13 16:36:56",1316055329751339008,"Join me Friday (10/16) in Ocala, Florida at the Ocala International Airport at 4:00pmE! #MAGA https://t.co/ZVRMGBCE1c",9353,33868,"None","None","Donald J. Trump",87256412
"2020-10-13 16:34:21",1316054678870863878,"Join me on Thursday afternoon (1:00pmE) in Greenville, North Carolina at the Pitt-Greenville Airport! #MAGA https://t.co/owg9pSXWJz",8755,31703,"None","None","Donald J. Trump",87256412
"2020-10-13 16:30:57",1316053824193339403,"Join me tomorrow tonight (Wednesday) in Iowa, at the Des Moines International Airport! https://t.co/92lmaoNdTo",10261,38289,"None","None","Donald J. Trump",87256412
"2020-10-13 16:28:24",1316053182775275521,"Join me tonight at 7:00pmE in Johnstown, Pennsylvania at the John Murtha Johnstown-Cambria County Airport! #MAGA https://t.co/8o9QHHDn1h",10714,39208,"None","None","Donald J. Trump",87256412
"2020-10-13 15:05:31",1316032322811162624,"RT @gmoomaw: Virginia’s voter registration system reportedly having problems on the last day to register to vote, with early voting in full…",7159,0,"None","None","Donald J. Trump",87256412
"2020-10-13 15:04:33",1316032083219935236,"This is happening all over the U.S. Rigged Election??? https://t.co/MG0d9xUH1Z",20942,49638,"None","None","Donald J. Trump",87256412
"2020-10-13 15:01:57",1316031426618327040,"STIMULUS! Go big or go home!!!",46432,289211,"None","None","Donald J. Trump",87256412
"2020-10-13 13:43:45",1316011746973286400,"“The Radical Left is trying hard to undermine the Christopher Columbus legacy. A great Italian opened new chapter i… https://t.co/2tYWTLwg9I",25039,113288,"None","None","Donald J. Trump",87256412
"2020-10-13 12:11:00",1315988404694396929,"Actually, Tony’s pitching arm is far more accurate than his prognostications. “No problem, no masks”. WHO no longer… https://t.co/EaYTc85mQN",16715,55679,"None","None","Donald J. Trump",87256412
"2020-10-13 12:01:16",1315985954767802369,"We love the people of Lake Charles, Louisiana. You’ve been hit hard , and often, but your Federal Government is the… https://t.co/1UwqPzcTeS",13434,66855,"None","None","Donald J. Trump",87256412
"2020-10-13 11:50:47",1315983317620215808,"Republicans will be providing far better Healthcare than the Democrats, at a far lower cost...And will always prote… https://t.co/UWZfedLkWE",44402,199361,"None","None","Donald J. Trump",87256412
